,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Price Level,URT
46,كبة ايام زمان,ChIJs2vC87FtWRUR6Fz-P3qhdws,32.6326651,44.0446397,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",كربلاء‎،، 56001،،,2,1
47,Mr شاورما,ChIJjTeTtydrWRUR7K35ADddvn4,32.62144310000001,44.0341597,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J2CM+HMC, Sadra St, Karbala",2,1
48,Kabab Mohammad Restaurant,ChIJZwiJ0LtrWRUR6EWyMa-j5ss,32.5980113,44.025842,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2XG+58X, Karbala",2,683
49,مأكولات ابن الموصل,ChIJL1zdFyZpWRURVi4ryamCUtk,32.590231,44.01860509999999,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",H2R9+3FF الحسين،,2,3
50,مطعم صباح ابو الوير,ChIJm0dEaudpWRURjnj-Re2xZe8,32.6029845,44.0162928,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","J238+6G2, Karbala",2,3
51,مطعم و مشويات القسيم,ChIJLa13bVhrWRUR118GDeD3jUI,32.6167434,44.0392045,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","J28Q+PJ8, Bab Al-khan, Karbala",2,11
52,Abu Ali barbeque restaurant,ChIJo4I4YIBpWRURR8JJ6L5G55A,32.5918383,44.0184323,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","H2R9+P9J، شارع حي الحسين, Karbala",2,218
53,ماكولات ولاية علي,ChIJr72Py2BrWRURbBtKxQdicGw,32.6126129,44.0374622,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J27P+2XW, شارع الجمهورية، كربلاء, 56001،",2,0
54,ماكولات سلطع بركر,ChIJEys2V7dpWRURmXresyl3gYA,32.6112527,44.0093775,2.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","J265+GQ2, Karbala",2,4
55,Sky tower restaurant,ChIJ6Qpnf-VtWRURZ_tKyb6qKtk,32.6263732,44.0412729,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",J2HR+7V2، كربلاء 56001،،,2,2
56,Khan mandi restaurant,ChIJh1aUg39pWRURJletNw7icow,32.5948242,44.0177686,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الحسين مجاور المسبح كربلاء,2,1629
57,TURATH Restaurant,ChIJDdQSELNpWRURJO75Xvbjr_k,32.5997946,44.0182616,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","شارع حي الحسين, Karbala",2,638
58,Al Fardous Restaurant,ChIJm4D2oXNsWRURDOShPF8qrLs,32.6264088,44.0415263,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",Bab Baghdad Main Road,2,21
59,Super Star - Lokma - سوبر ستار - لقمة,ChIJTcOG_LBrWRURTe5Eh3l3i-w,32.6005741,44.024122,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Unnamed Road, Karbala",2,115
60,Retaj Restaurant,ChIJ93G3RPNrWRURBIXtrUdY3jE,32.6168687,44.0381276,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","J28Q+P7R, Furat St, Karbala",2,80
61,Lebanese countryside restaurant,ChIJb-_5s1ZqWRURxk1vHVfFmNY,32.5734248,44.0535325,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","H3F3+9C7، الطريق الحولي, Karbala",2,47
62,مطعم العائلة,ChIJzaPmEGxpWRUR0rwIZnfR9yo,32.6130625,44.0049375,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","كربلاء . مقابل مستشفى الولادة, Karbala",2,282
63,مطعم كنتاكي كينج,ChIJAe3vEOtrWRURbsBXujG6Rnw,32.6125676,44.0219462,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","J27C+2QG, Karbala",2,118
64,مطعم ركن السلطان للمشويات التركية و الاكلات الشرقية,ChIJQ1k8T9lrWRURp-Zf57CxuK8,32.604933,44.0239694,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","J23F+XHG, Karbala",2,691
65,Rihanna Restaurant,ChIJ8VMlUdhrWRURU-Vs7nOsYOY,32.6037626,44.0219479,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",Karbala,2,764
66,Abu Noor Bakila Bil Dihin Restaurant,ChIJxVuD9IBpWRURx2PMZ4Ue1eQ,32.5903408,44.0186557,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","H2R9+4FJ, Karbala",2,167
67,مطعم المدينة,ChIJPfDcZDJzWRURtNjTJhZZoBg,32.6796845,44.07486919999999,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']","M3HF+VW منطقة عون (ع, ،",2,8
68,مطعم بيت المندي,ChIJ3-6nSttpWRUR_W8TkFGO2Zw,32.6084318,44.0114311,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']","J256+9HG, Karbala",2,19
69,مطعم ومشويات ليث الوائلي,ChIJ5TZfU3xvWRURI1AfcPjSjUg,32.6406379,43.9957542,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","JXRW+787, Karbala",2,1
70,مطعم شي طيب,ChIJZVi_IblpWRURm_8Xmf9KA_Y,32.6002337,44.0079747,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']","Unnamed Road, Karbala 56001",2,182
71,مطعم ومشويات باب الخان,ChIJY7VDe9VrWRURAT1kk1LdSwA,32.595853,44.0374551,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",الخان، باب طوريج كربلاء باب,2,107
72,Al Dur Nasraoui Restaurant,ChIJGzDoCNprWRUR_3WEHyFOTuQ,32.6004949,44.02537969999999,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']","J22G+55R، شارع المجمعات, Karbala",2,1469
73,مطعم كباب زمزم,ChIJUf6u9FZtWRUR0MV1QqvBknc,32.6345421,44.0438172,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",J2MV+RH3,2,13
74,Baghdad kebab restaurant,ChIJ1_P4qW5sWRURQQQ_1Ah3mC0,32.6327293,44.0438017,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",Baghdad Rd,2,765
75,مطعم مندي الحجي,ChIJFxe_6ndtWRURGgZFyh9Mh4Y,32.6301782,44.0439882,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",طريق كربلاء - بغداد، 56001،، 56001،,2,60
76,مطعم بيتزا الشام,ChIJU8IP4hhpWRURB1pAKrHwyC8,32.6240027,43.9877633,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']","JXFQ+J42, Karbala",2,150
